discount,points,onyx,diamond,ruby,sapphire,emerald
onyx,0,0,1,1,1,1
onyx,0,0,0,1,0,2
onyx,0,0,2,0,0,2
onyx,0,1,0,3,0,1
onyx,0,0,0,0,0,3
onyx,0,0,1,1,2,1
onyx,0,0,2,1,2,0
onyx,1,0,0,0,4,0
sapphire,0,2,1,0,0,0
sapphire,0,1,1,2,0,1
sapphire,0,1,1,1,0,1
sapphire,0,0,0,1,1,3
sapphire,0,3,0,0,0,0
sapphire,0,0,1,2,0,2
sapphire,0,2,0,0,0,2
sapphire,1,0,0,4,0,0
emerald,0,0,2,0,1,0
emerald,0,0,0,2,2,0
emerald,0,0,1,0,3,1
emerald,0,1,1,1,1,0
emerald,0,2,1,1,1,0
emerald,0,2,0,2,1,0
emerald,0,0,0,3,0,0
emerald,1,4,0,0,0,0
ruby,0,0,3,0,0,0
ruby,0,3,1,1,0,0
ruby,0,0,0,0,2,1
ruby,0,2,2,0,0,1
ruby,0,1,2,0,1,1
ruby,0,1,1,0,1,1
ruby,0,0,2,2,0,0
ruby,1,0,4,0,0,0
diamond,0,1,0,0,2,2
diamond,0,1,0,2,0,0
diamond,0,1,0,1,1,1
diamond,0,0,0,0,3,0
diamond,0,0,0,0,2,2
diamond,0,1,0,1,1,2
diamond,0,1,3,0,1,0
diamond,1,0,0,0,0,4
